,あきる野市伊奈,35.732,139.255
,あさぎり町上,32.201,130.895
,あさぎり町免田東,32.226,130.895
,あさぎり町岡原,32.226,130.925
,あさぎり町深田,32.226,130.873
,あさぎり町須惠,32.251,130.895
,あま市七宝町,35.167,136.801
,あま市木田,35.197,136.785
,あま市甚目寺,35.195,136.820
,あわら市国影,36.218,136.202
,あわら市市姫,36.204,136.226
,いすみ市国府台,35.283,140.311
,いすみ市大原,35.251,140.385
,いすみ市岬町長者,35.297,140.385
,いちき串木野市湊町,31.686,130.285
,いちき串木野市緑町,31.704,130.270
,いなべ市北勢町阿下喜,35.149,136.523
,いなべ市員弁町笠田新田,35.113,136.561
,いなべ市大安町大井田,35.090,136.537
,いなべ市藤原町市場,35.170,136.495
,いの町上八川,33.629,133.340
,いの町役場,33.533,133.430
,いの町脇ノ山,33.756,133.347
,いの町長沢,33.708,133.308
,いわき市平四ツ波,37.091,140.903
,いわき市平梅本,37.050,140.885
,いわき市錦町,36.905,140.793
,うきは市吉井町,33.325,130.755
,うきは市浮羽町,33.313,130.792
,うるま市みどり町,26.364,127.853
,うるま市与那城平安座,26.330,127.954
,うるま市与那城饒辺,26.296,127.903
,うるま市石川石崎,26.410,127.828
,えびの市加久藤,32.033,130.807
,えりも町えりも岬,41.910,143.246
,えりも町目黒,42.095,143.321
,おいらせ町上明堂,40.577,141.431
,おいらせ町中下田,40.583,141.402
,かすみがうら市上土田,36.153,140.237
,かすみがうら市大和田,36.096,140.332
,かつらぎ町丁ノ町,34.294,135.503
,かつらぎ町花園梁瀬,34.136,135.514
,かほく市宇野気,36.708,136.707
,かほく市浜北,36.721,136.702
,かほく市高松,36.761,136.729
,さいたま中央区下落合,35.884,139.625
,さいたま北区宮原,35.930,139.619
,さいたま南区別所,35.843,139.643
,さいたま大宮区大門,35.906,139.628
,さいたま大宮区天沼町,35.906,139.646
,さいたま岩槻区本丸,35.954,139.705
,さいたま桜区道場,35.855,139.608
,さいたま浦和区常盤,35.860,139.643
,さいたま緑区中尾,35.869,139.684
,さいたま西区指扇,35.925,139.578
,さいたま見沼区堀崎,35.934,139.652
,さつま町宮之城保健センタ,31.884,130.446
,さつま町求名,31.909,130.542
,さつま町神子,31.934,130.483
,さぬき市大川町,34.245,134.239
,さぬき市寒川町,34.245,134.207
,さぬき市志度,34.303,134.175
,さぬき市津田町,34.266,134.252
,さぬき市長尾東,34.245,134.182
,さぬき市長尾総合公園,34.229,134.188
,すさみ町周参見,33.549,135.495
,せたな町北檜山区徳島,42.381,139.885
,せたな町大成区都,42.196,139.822
,せたな町瀬棚区北島歌,42.556,139.835
,せたな町瀬棚区本町,42.418,139.860
,たつの市御津町,34.765,134.560
,たつの市揖保川町,34.808,134.528
,たつの市新宮町,34.903,134.554
,たつの市龍野町,34.840,134.548
,つがる市木造,40.798,140.376
,つがる市柏,40.770,140.412
,つがる市森田町,40.765,140.333
,つがる市稲垣町,40.870,140.398
,つがる市車力町,40.936,140.362
,つくばみらい市加藤,35.990,140.011
,つくばみらい市福田,35.963,140.037
,つくば市天王台,36.127,140.090
,つくば市小茎,35.992,140.114
,つくば市研究学園,36.083,140.076
,つるぎ町一宇,33.937,134.066
,つるぎ町半田,34.011,134.034
,つるぎ町貞光,34.016,134.066
,ときがわ町桃木,36.004,139.272
,ときがわ町玉川,36.009,139.296
,にかほ市平沢,39.274,139.957
,にかほ市象潟町浜ノ田,39.203,139.906
,にかほ市金浦,39.241,139.921
,ひたちなか市南神敷台,36.344,140.596
,ひたちなか市東石川,36.389,140.532
,ふじみ野市大井,35.857,139.508
,ふじみ野市福岡,35.879,139.519
,まんのう町吉野下,34.170,133.841
,まんのう町生間,34.133,133.841
,まんのう町造田,34.144,133.925
,みどり市大間々町,36.426,139.273
,みどり市東町,36.515,139.310
,みどり市笠懸町,36.389,139.278
,みなかみ町布施,36.679,138.926
,みなかみ町後閑,36.675,138.999
,みなかみ町鹿野沢,36.779,138.967
,みなべ町芝,33.769,135.321
,みやき町三根,33.276,130.432
,みやき町中原,33.325,130.439
,みやき町北茂安,33.307,130.454
,みやこ町勝山上田,33.680,130.917
,みやこ町犀川本庄,33.630,130.939
,みやこ町豊津,33.655,130.969
,みやま市山川町,33.102,130.513
,みやま市瀬高町,33.133,130.476
,みやま市高田町,33.083,130.454
,むかわ町松風,42.537,141.937
,むかわ町穂別,42.722,142.138
,むつ市大畑町中島,41.400,141.171
,むつ市川内町,41.190,140.997
,むつ市脇野沢,41.135,140.817
,むつ市金谷,41.289,141.200
,ニセコ町中央通,42.768,140.691
,一宮市木曽川町,35.335,136.776
,一宮市緑,35.299,136.812
,一宮市西五城,35.294,136.751
,一戸町高善寺,40.196,141.293
,一関市千厩町,38.914,141.331
,一関市室根町,38.929,141.440
,一関市川崎町,38.893,141.261
,一関市東山町,38.990,141.255
,一関市竹山町,38.929,141.127
,一関市花泉町,38.822,141.184
,一関市藤沢町,38.853,141.344
,七ヶ宿町関,37.979,140.443
,七ヶ浜町東宮浜,38.294,141.057
,七宗町上麻生,35.542,137.118
,七尾市中島町中島,37.112,136.854
,七尾市垣吉町,37.051,136.898
,七尾市田鶴浜町,37.055,136.887
,七尾市能登島向田町,37.116,136.995
,七尾市袖ヶ江町,37.033,136.968
,七戸町七戸,40.682,141.149
,七戸町森ノ上,40.732,141.156
,七飯町本町,41.874,140.703
,三原市久井町,34.494,133.026
,三原市大和町,34.521,132.949
,三原市本郷南,34.383,132.987
,三原市館町,34.383,133.084
,三原村来栖野,32.901,132.846
,三宅村阿古,34.052,139.485
,三宅町伴堂,34.571,135.771
,三島市大社町,35.119,138.916
,三島村硫黄島,30.774,130.282
,三島村竹島,30.803,130.414
,三島村黒島,30.823,129.917
,三島町宮下,37.462,139.644
,三川町横山,38.787,139.848
,三戸町在府小路町,40.362,141.265
,三春町大町,37.431,140.494
,三朝町大瀬,35.392,133.861
,三木市吉川町,34.885,135.124
,三木市福井,34.796,134.990
,三木町氷上,34.245,134.137
,三条市新堀,37.578,138.922
,三条市荻堀,37.558,139.030
,三条市西裏館,37.629,138.960
,三沢市桜町,40.665,141.373
,三浦市城山町,35.143,139.619
,三田市下里,34.951,135.271
,三種町ことおか中央公園,40.019,140.095
,三種町豊岡,40.091,140.073
,三種町鵜川,40.086,140.001
,三種町鹿渡,40.030,140.080
,三笠市幸町,43.201,141.874
,三股町五本松,31.717,131.123
,三豊市三野町,34.181,133.706
,三豊市仁尾町,34.176,133.649
,三豊市山本町,34.096,133.726
,三豊市詫間町,34.202,133.674
,三豊市豊中町,34.128,133.694
,三豊市財田町,34.096,133.777
,三豊市高瀬町,34.160,133.719
,三郷市中央,35.829,139.876
,三郷町勢野西,34.597,135.694
,三重大紀町大内山,34.274,136.358
,三重大紀町滝原,34.356,136.416
,三重大紀町錦,34.216,136.397
,三重御浜町阿田和,33.810,136.049
,三重明和町馬之上,34.544,136.622
,三重朝日町小向,35.031,136.663
,三重紀北町東長島,34.205,136.337
,三重紀北町相賀,34.102,136.232
,三鷹市野崎,35.682,139.558
,上ノ国町大留,41.772,140.124
,上ノ国町小砂子,41.648,139.994
,上ノ国町湯ノ岱,41.753,140.253
,上三川町しらさぎ,36.433,139.910
,上勝町旭,33.862,134.393
,上北山村河合,34.129,135.998
,上士幌町上士幌,43.192,143.296
,上士幌町清水谷,43.275,143.309
,上天草市姫戸町,32.431,130.417
,上天草市松島町,32.499,130.432
,上天草市龍ヶ岳町,32.375,130.388
,上富田町朝来,33.693,135.431
,上小阿仁村小沢田,40.047,140.297
,上尾市本町,35.978,139.593
,上山市河崎,38.137,140.270
,上峰町坊所,33.301,130.424
,上島町岩城,34.224,133.148
,上島町弓削,34.234,133.206
,上島町生名,34.245,133.186
,上島町魚島,34.160,133.321
,上川中川町中川,44.787,142.075
,上川地方上川町清川,43.727,142.906
,上川地方上川町花園町,43.819,142.768
,上市町稗田,36.682,137.354
,上松町駅前通り,35.774,137.691
,上板町七條,34.101,134.406
,上毛町垂水,33.561,131.160
,上毛町東下,33.537,131.153
,上牧町上牧,34.561,135.716
,上田市上丸子,36.320,138.268
,上田市上武石,36.276,138.227
,上田市役所,36.397,138.244
,上田市真田町長,36.440,138.303
,上砂川町上砂川,43.441,141.987
,上越市三和区井ノ口,37.116,138.347
,上越市中郷区藤沢,36.972,138.222
,上越市吉川区原之町,37.213,138.407
,上越市名立区名立大町,37.147,138.092
,上越市大島区岡,37.147,138.510
,上越市大潟区土底浜,37.222,138.331
,上越市安塚区安塚,37.116,138.445
,上越市木田,37.138,138.239
,上越市板倉区針,37.042,138.293
,上越市柿崎区柿崎,37.270,138.391
,上越市浦川原区釜淵,37.152,138.429
,上越市清里区荒牧,37.073,138.336
