北海道,石狩市花川,43.17,141.32,気象庁
北海道,石狩市聚富,43.28,141.42,気象庁
北海道,石狩市厚田,43.40,141.43,防災科研
北海道,石狩市浜益,43.60,141.39,防災科研
北海道,石狩市花畔,43.17,141.30,防災科研
北海道,当別町白樺,43.22,141.52,防災科研
北海道,新篠津村第４７線,43.23,141.65,地方公共団体
北海道,札幌中央区北２条,43.06,141.33,気象庁
北海道,札幌中央区南４条,43.05,141.34,地方公共団体
北海道,札幌北区太平,43.14,141.35,防災科研
北海道,札幌北区篠路,43.14,141.36,地方公共団体
北海道,札幌北区新琴似,43.11,141.33,地方公共団体
北海道,札幌東区元町,43.09,141.37,地方公共団体
北海道,札幌白石区北郷,43.06,141.42,地方公共団体
北海道,札幌豊平区月寒東,43.03,141.40,地方公共団体
北海道,札幌南区定山渓温泉,42.97,141.17,防災科研
北海道,札幌南区川沿,43.00,141.33,地方公共団体
北海道,札幌南区石山,42.97,141.33,地方公共団体
北海道,札幌西区琴似,43.07,141.30,地方公共団体
北海道,札幌厚別区もみじ台,43.03,141.49,地方公共団体
北海道,札幌手稲区前田,43.12,141.26,地方公共団体
北海道,江別市高砂町,43.10,141.54,気象庁
北海道,江別市緑町,43.12,141.55,防災科研
北海道,札幌清田区平岡,43.00,141.44,地方公共団体
北海道,千歳市北栄,42.83,141.64,気象庁
北海道,新千歳空港,42.78,141.68,気象庁
北海道,千歳市若草,42.79,141.60,防災科研
北海道,千歳市支笏湖温泉,42.78,141.40,防災科研
北海道,恵庭市漁平,42.84,141.45,気象庁
北海道,恵庭市京町,42.88,141.58,地方公共団体
北海道,北広島市共栄,42.99,141.55,防災科研
北海道,八雲町上の湯,42.12,140.37,気象庁
北海道,八雲町住初町,42.26,140.26,防災科研
北海道,八雲町熊石雲石町,42.13,139.98,防災科研
北海道,長万部町平里,42.49,140.35,防災科研
北海道,函館市尾札部町,41.89,141.03,気象庁
北海道,函館市美原,41.82,140.75,気象庁
北海道,函館市大森町,41.77,140.74,防災科研
北海道,函館市泊町,41.72,141.00,防災科研
北海道,函館市新浜町,41.83,141.14,防災科研
北海道,函館市川汲町,41.91,140.97,防災科研
北海道,函館市日ノ浜町,41.79,141.11,地方公共団体
北海道,七飯町桜町,41.90,140.69,気象庁
北海道,七飯町本町,41.90,140.70,防災科研
北海道,鹿部町宮浜,42.04,140.81,防災科研
北海道,渡島森町御幸町,42.11,140.58,気象庁
北海道,渡島森町上台町,42.10,140.56,防災科研
北海道,渡島森町砂原,42.12,140.67,地方公共団体
北海道,渡島北斗市中央,41.82,140.65,地方公共団体
北海道,渡島北斗市本町,41.88,140.64,地方公共団体
北海道,渡島松前町福山,41.43,140.11,気象庁
北海道,渡島松前町清部,41.52,140.01,気象庁
北海道,福島町福島,41.49,140.25,防災科研
北海道,知内町小谷石,41.53,140.41,気象庁
北海道,知内町重内,41.60,140.42,地方公共団体
北海道,木古内町木古内,41.68,140.43,防災科研
北海道,檜山江差町姥神,41.87,140.12,気象庁
北海道,檜山江差町中歌町,41.87,140.13,防災科研
北海道,上ノ国町湯ノ岱,41.75,140.25,防災科研
北海道,上ノ国町小砂子,41.65,140.00,防災科研
北海道,上ノ国町大留,41.80,140.12,地方公共団体
北海道,厚沢部町木間内,41.94,140.37,防災科研
北海道,厚沢部町新町,41.92,140.23,地方公共団体
北海道,乙部町緑町,41.97,140.14,地方公共団体
北海道,今金町今金,42.43,140.02,防災科研
北海道,せたな町北檜山区豊岡,42.42,139.88,気象庁
北海道,せたな町大成区都,42.23,139.82,防災科研
北海道,せたな町瀬棚区本町,42.45,139.85,防災科研
北海道,せたな町瀬棚区北島歌,42.59,139.83,防災科研
北海道,せたな町北檜山区徳島,42.42,139.885,地方公共団体
北海道,小樽市勝納町,43.18,141.02,気象庁
北海道,小樽市花園町,43.19,140.99,防災科研
北海道,積丹町日司町,43.35,140.47,気象庁
北海道,積丹町美国町,43.29,140.60,防災科研
北海道,積丹町余別町,43.32,140.38,防災科研
北海道,古平町浜町,43.27,140.64,地方公共団体
北海道,仁木町西町,43.15,140.77,地方公共団体
北海道,余市町朝日町,43.20,140.78,気象庁
北海道,余市町浜中町,43.20,140.785,防災科研
北海道,赤井川村赤井川,43.08,140.82,防災科研
