900,未設定,,地域未設定
901,不明,,地域不明
905,外国,,日本以外
010,北海道,北海道,北海道 石狩,43.062,141.354
015,北海道,北海道,北海道 渡島,41.820,140.753
020,北海道,北海道,北海道 檜山,41.859,140.128
025,北海道,北海道,北海道 後志,42.902,140.756
030,北海道,北海道,北海道 空知,43.198,141.767
035,北海道,北海道,北海道 上川,43.808,142.439
040,北海道,北海道,北海道 留萌,43.935,141.656
045,北海道,北海道,北海道 宗谷,45.398,141.700
050,北海道,北海道,北海道 網走,44.027,144.261
055,北海道,北海道,北海道 胆振,42.321,140.972
060,北海道,北海道,北海道 日高,42.173,142.768
065,北海道,北海道,北海道 十勝,42.930,143.208
070,北海道,北海道,北海道 釧路,42.977,144.345
075,北海道,北海道,北海道 根室,43.330,145.585
100,東北,青森,青森津軽,40.759,140.428
105,東北,青森,青森三八上北,41.293,141.183
106,東北,青森,青森下北,40.610,141.325
110,東北,岩手,岩手沿岸北部,39.843,141.796
111,東北,岩手,岩手沿岸南部,39.082,141.709
115,東北,岩手,岩手内陸,39.702,141.154
120,東北,宮城,宮城北部,38.540,141.128
125,東北,宮城,宮城南部,38.172,140.892
130,東北,秋田,秋田沿岸,39.720,140.104
135,東北,秋田,秋田内陸,39.700,140.731
140,東北,山形,山形庄内,38.727,139.827
141,東北,山形,山形最上,38.765,140.302
142,東北,山形,山形村山,38.255,140.340
143,東北,山形,山形置賜,37.922,140.117
150,東北,福島,福島中通り,37.401,140.360
151,東北,福島,福島浜通り,37.449,141.013
152,東北,福島,福島会津,37.460,139.841
200,関東,茨城,茨城北部,36.457,140.486
205,関東,茨城,茨城南部,36.083,140.076
210,関東,栃木,栃木北部,36.961,140.046
215,関東,栃木,栃木南部,36.426,139.803
220,関東,群馬,群馬北部,36.678,138.999
225,関東,群馬,群馬南部,36.389,139.063
230,関東,埼玉,埼玉北部,36.147,139.388
231,関東,埼玉,埼玉南部,35.925,139.485
232,関東,埼玉,埼玉秩父,35.991,139.085
240,関東,千葉,千葉北東部,35.707,140.564
241,関東,千葉,千葉北西部,35.607,140.106
242,関東,千葉,千葉南部,35.330,139.902
250,関東,東京,東京,35.699,139.502
255,関東,東京,伊豆諸島北部,34.377,139.257
260,関東,東京,伊豆諸島南部,34.075,139.479
265,関東,東京,小笠原,27.094,142.191
